scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,at,au,al,ac,tu,tl,wd,cif,ss,c,lsr,be,cn,ds,dr,ba,d,cf,all,co,cnf,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
ES,2022WK0,qm,8,b3,3467,[44],N,0,1,N,0,3,N,g,"[43,43,43,32]",1,1,N,2,n,n,N,N,N,Y,,a,,,,,,,,,,,,,
CS,2022WK0,qm,8,r3,1073,[20],Y,0,0,N,0,2,N,,,x,x,N,0,a,x,N,N,N,N,Cute,a,,,,,,,,,,,,,
Eg,2022WK0,qm,8,b1,125,[56],Y,2,0,Y,0,0,N,x,,4,4,Y,2,x,x,N,N,N,N,,a,,,,,,,,,,,,,
Cole,2022WK0,qm,8,b2,5687,[29],N,0,0,N,0,0,Y,g,,x,x,N,2,a,x,Y,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,8,r2,501,[18],N,0,0,N,0,0,N,g,,x,x,N,0,n,x,N,N,N,N,I think their shooter broke,v,,,,,,,,,,,,,
AM,2022WK0,qm,8,r1,5459,[19],N,0,0,N,0,0,N,x,,x,x,N,0,a,a,N,N,N,N,,n,,,,,,,,,,,,,
ES,2022WK0,qm,9,b3,4041,[55],N,0,0,N,0,0,N,g,,x,x,N,0,a,n,N,N,N,N,,n,,,,,,,,,,,,,
BM,2022WK0,qm,9,r2,1721,[30],N,0,0,N,0,0,N,,,,,N,0,x,x,N,N,N,N,Not present,v,,,,,,,,,,,,,
CS,2022WK0,qm,9,r3,88,[44],N,0,0,N,4,0,N,,[19],x,x,N,0,a,a,N,N,N,N,"Top Heavy, unstable ",a,,,,,,,,,,,,,
EgEG,2022WK0,qm,9,b1,2713,[41],Y,0,0,N,0,0,N,g,"[53,53,54]",x,x,N,0,,,N,N,N,N,Shoots too high to score,a,,,,,,,,,,,,,
AM,2022WK0,qm,9,r1,6153,[44],N,0,0,N,0,0,N,x,,x,x,N,0,a,n,N,N,N,N,,n,,,,,,,,,,,,,
CS,2022WK0,qm,10,r3,4909,[32],Y,0,0,N,3,1,N,,[43],x,x,N,1,a,x,N,N,N,N,"Not very accurate,  overshot a lot",a,,,,,,,,,,,,,
EG,2022WK0,qm,10,b1,157,[18],Y,0,0,N,0,0,N,g,"[29,30]",x,x,N,1,x,x,N,N,N,N,,a,,,,,,,,,,,,,
EEgEG,2022WK0,qm,10,b2,5813,[55],Y,2,0,N,3,0,N,g,"[53,41,32,32]",x,x,N,1,x,x,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,10,r2,151,[30],N,0,0,N,0,4,N,g,,2,x,N,0,a,x,N,N,N,N,Average robot,v,,,,,,,,,,,,,
ES,2022WK0,qm,10,b3,8724,[43],N,1,0,N,0,0,Y,g,"[40,40,43,43,20]",x,x,N,0,v,x,N,N,N,N,,v,,,,,,,,,,,,,
AM,2022WK0,qm,10,r1,246,[],N,0,0,N,0,0,N,,,,,N,0,,,N,N,N,N,Did not compete,,,,,,,,,,,,,,
Eg,2022WK0,qm,11,b2,2342,[29],Y,0,0,N,0,0,N,,,x,x,N,1,a,n,Y,N,N,N,Just a drive base,a,,,,,,,,,,,,,
ES,2022WK0,qm,11,b3,509,[43],N,0,0,N,0,0,N,g,[44],2,4,Y,2,x,x,N,N,N,N,,a,,,,,,,,,,,,,
CS,2022WK0,qm,11,r3,125,[44],Y,3,0,Y,3,0,N,,[9],f,,Y,0,v,x,N,N,N,N,Broke during climb,a,,,,,,,,,,,,,
BM,2022WK0,qm,11,r2,238,[17],Y,0,0,N,3,0,N,g,,x,x,N,0,n,x,N,N,N,N,Average.,v,,,,,,,,,,,,,
AM,2022WK0,qm,11,r1,1073,[44],Y,0,0,N,0,1,N,t,[43],x,x,N,0,n,x,N,N,N,N,,n,,,,,,,,,,,,,
EGEG,2022WK0,qm,11,b1,509,[17],N,0,0,N,0,0,N,b,[54],4,4,N,1,,,N,N,N,N,,a,,,,,,,,,,,,,
ES,2022WK0,qm,12,b3,2370,[55],N,0,0,Y,4,0,N,g,"[41,41,8,8,44,44]",2,2,N,2,v,x,N,N,N,Y,,v,,,,,,,,,,,,,
CS,2022WK0,qm,12,r3,5687,[44],N,0,0,N,2,0,N,,[8],x,x,N,0,a,a,N,N,N,N,Took a while to shoot,a,,,,,,,,,,,,,
