Ac,All,As,At,Ba,Be,C,Cf,Cif,Cnf,Co,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,D,Dr,Ds,Event Code,Match Level,Match Number,Robot,Scouter,Ss,Team Number,Wd,Al,Au,Cn,Tl,Tu
N,N,[29],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,32,r1,AM,"[41,29,54,54,31,31,29,29]",8046,N,0,1,2,8,0
N,N,[54],Y,Y,N,3,N,x,n,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,32,b2,am,,6762,N,0,0,1,0,0
Y,Y,[29],Y,N,N,2,N,,v,effective,,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,33,r2,DC,"[54,41]",78,N,0,2,3,0,6
Y,Y,[44],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,33,b1,BM,"[29,30,30,30,42,42,43]",467,N,1,1,0,7,0
N,N,[44],Y,N,N,f,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,33,b3,ps,"[43,54]",6690,Y,0,1,2,1,2
Y,N,[54],Y,N,Y,3,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,33,r1,AM,"[52,52,54,54,54,54,28,21,21,20,20]",7407,N,0,5,3,0,7
N,N,[29],Y,N,N,2,N,,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,33,r3,jm,"[54,29,53]",1768,N,0,1,3,1,2
N,N,[54],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,33,b2,am,"[44,44]",4761,N,0,0,0,0,0
N,N,[18],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,34,b1,BM,[18],3566,N,0,0,0,1,0
N,N,[17],N,N,N,x,N,x,,died,,,,,,,,,,,,,,,Y,x,x,2022NHGRS,qm,34,r2,DC,,1922,N,0,0,0,0,0
N,Y,[53],Y,N,N,x,N,g,v,,,,,,,,,,,,,,,,N,v,v,2022WK0,qm,34,r3,jm,"[54,65]",88,N,0,0,0,0,2
N,N,[41],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,34,r1,AM,"[40,28,16,24]",1729,N,0,0,0,0,0
N,N,[41],N,N,N,x,N,g,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,34,b2,am,[54],4761,N,0,0,0,0,0
N,N,[32],Y,Y,N,f,N,g,n,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,34,b3,ps,[32],6690,N,0,0,1,2,0
N,N,[54],N,N,N,x,N,,a,can only score low,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,35,r2,DC,,1307,N,0,0,0,1,0
Y,N,[44],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,35,b1,BM,,151,N,0,0,0,0,0
N,N,[54],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,35,r1,AM,,811,N,0,0,0,0,0
N,N,[55],N,N,N,x,N,,n,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,35,b3,ps,[42],1721,N,1,0,2,1,0
N,Y,[31],N,N,N,4,N,,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,35,b2,am,,95,N,0,0,0,0,0
N,N,[29],Y,N,N,1,N,t,a,,,,,,,,,,,,,,,,N,a,a,2022WK0,qm,35,r3,jm,"[54,42]",1247,N,1,0,1,2,0
N,N,[29],Y,N,N,x,N,x,n,can defend well,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,36,r2,DC,,4987,N,0,0,0,0,0
N,N,[44],Y,N,N,x,N,g,v,Not terrible,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,36,b1,BM,"[45,45,19]",2262,N,1,0,0,3,0
Y,N,[54],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,36,b2,am,,501,N,0,0,1,0,0
N,N,[55],Y,Y,Y,2,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,36,b3,ps,"[69,56,67,44,68,54,54]",663,N,0,0,1,0,7
Y,N,[54],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,n,v,2022NHGRS,qm,36,r1,AM,"[54,42,42,54,43,54,30,30,30,29,29]",1058,N,0,2,0,5,0
N,N,[54],Y,N,N,x,N,,n,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,36,r3,jm,"[17,29]",7913,N,0,0,0,0,0
N,Y,[29],Y,N,N,x,N,x,a,,,,,,,,,,,,,,,,N,v,a,2022WK0,qm,37,r3,jm,,6895,N,0,0,0,0,0
N,N,[41],N,N,N,x,N,,n,,,,,,,,,,,,,,,,Y,n,n,2022NHGRS,qm,37,r1,AM,,6762,N,0,0,0,0,0
N,Y,[54],Y,N,N,2,N,g,a,shooter is a bit weak but has potential,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,37,r2,DC,,8013,N,0,1,1,1,1
N,N,[44],Y,N,N,1,N,g,v,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,37,b1,BM,"[32,69]",1277,N,0,0,0,2,1
N,Y,[19],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,x,2022NHGRS,qm,37,b2,am,"[30,30,30]",467,Y,0,1,2,5,0
N,N,[54],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,n,v,2022NHGRS,qm,37,b3,ps,"[21,42]",1768,N,0,1,2,0,0
N,N,[31],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,38,b3,MM,"[47,43]",1512,N,0,0,3,1,1
N,Y,[54],N,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,38,r3,jm,"[42,54,54,54]",8723,N,1,0,2,0,6
Y,Y,[44],N,N,Y,4,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,38,b2,RS,"[43,54,45,19,29]",3467,Y,0,1,2,0,8
N,N,[29],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,38,r1,AM,"[16,16]",5902,N,0,0,0,1,0
N,N,[29],Y,N,N,1,N,,n,didn't really do much,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,38,r2,DC,,4925,N,0,0,2,0,0
N,N,[18],N,N,N,x,N,x,v,Broke down,,,,,,,,,,,,,,,N,x,x,2022NHGRS,qm,38,b1,BM,,5491,N,0,0,0,0,0
N,N,[42],Y,N,N,x,N,x,n,didn't really do much,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,39,r2,DC,,6763,N,1,0,0,0,0
N,N,[29],Y,N,N,x,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022WK0,qm,39,r3,jm,[29],131,N,0,0,1,4,0
Y,N,[19],Y,N,N,f,N,g,a,accurate shots,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,39,b3,MM,"[20,30,31]",6328,Y,0,2,1,0,5
Y,Y,[44],N,N,N,4,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,39,b2,RS,"[44,41,17,19]",7407,N,0,1,1,0,8
N,N,[54],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,39,r1,AM,"[54,42,54,42,42,42,54]",8046,N,0,1,0,1,4
N,N,[44],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,39,b1,BM,[53],8708,N,0,0,0,0,1
Y,Y,[29],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,40,r1,AM,"[29,29,29,28,54,54,29,29,54,53]",78,N,0,2,1,0,9
N,N,[54],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,v,a,2022WK0,qm,40,r3,jm,[53],501,N,0,0,2,0,0
N,Y,[56],N,N,N,2,N,t,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,40,b2,RS,"[42,44]",151,Y,0,0,1,5,0
N,N,[19],Y,N,N,2,N,g,v,Something went wrong with shooter,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,40,b1,BM,,3566,N,0,0,0,0,0
N,N,[43],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,40,b3,MM,"[45,44]",1729,Y,0,0,1,0,0
N,N,[55],Y,N,N,x,N,x,n,only defends,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,40,r2,DC,,4987,N,0,0,0,0,0
N,N,[44],Y,N,N,4,N,g,v,8),,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,41,b1,BM,"[54,53,54,53]",88,N,0,1,0,0,5
N,N,[55],Y,N,N,2,N,b,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,41,r3,jm,"[54,44,30,31,54,42]",1058,N,0,0,0,4,0
N,N,[54],N,N,N,x,N,,n,,,,,,,,,,,,,,,,N,x,x,2022NHGRS,qm,41,r1,AM,,6762,N,0,0,0,0,0
N,N,[43],Y,N,N,x,N,b,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,41,b3,MM,"[19,43,19]",1247,N,1,0,4,3,0
Y,Y,[29],Y,N,N,2,N,,a,only shoots low,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,41,r2,DC,"[41,41,42,42,44,43,31,31]",467,N,0,0,0,8,0
N,N,[19],N,N,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,41,b2,RS,,4909,N,0,7,0,0,0
N,N,[29],Y,N,N,f,N,x,n,cant intake balls,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,42,r2,.,,811,N,0,0,1,0,0
N,N,[32],Y,N,N,2,N,g,v,Not great at aiming,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,42,b1,.,[46],5902,N,0,0,0,1,0
N,N,[55],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,Y,x,n,2022WK0,qm,42,r3,jm,"[54,54]",8724,N,0,0,1,0,1
N,N,[29],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,42,r1,AM,"[42,29,29]",1721,N,1,0,0,2,0
Y,Y,[19],N,N,Y,1,N,t,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,42,b2,RS,"[19,43]",1768,Y,0,1,1,0,5
N,N,[43],Y,N,N,2,N,g,a,can't shoot effectively,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,42,b3,MM,"[43,36]",2262,N,0,0,2,2,0
N,N,[53],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022WK0,qm,43,r3,jm,"[42,43,31,42]",8046,N,1,0,3,5,0
N,N,[18],Y,N,N,1,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,43,r1,AM,"[29,29,43,44,44,31,31]",1922,N,0,0,3,6,0
N,Y,[54],Y,N,Y,2,N,g,a,can score on both levels,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,43,r2,DC,"[42,55,42,42]",1277,N,0,1,0,4,0
N,N,[32],Y,N,N,x,N,x,v,I think their intake broke?,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,43,b1,BM,,4925,N,0,0,0,0,0
Y,Y,[19],N,N,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,43,b2,RS,"[44,18,54,29]",6328,N,0,4,1,0,8
Y,Y,[44],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,43,b3,MM,"[43,31,19,45,20,44]",126,N,0,2,3,6,4
N,N,[29],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,44,r3,jm,"[42,44,55,30]",1512,N,1,0,3,2,1
N,Y,[29],Y,N,N,4,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,44,r1,AM,"[42,42,54,42,43,44,31,19,31,31,31,19,31,19]",131,N,0,1,0,12,0
N,N,[29],Y,N,N,2,N,x,n,did shoot or pick up during teleop,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,44,r2,DC,,6690,N,1,0,0,0,0
N,N,[44],N,Y,N,,N,,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,44,b2,RS,,6895,N,0,0,0,0,0
Y,N,[31],Y,N,Y,4,N,g,v,great shooting and getting around defense,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,44,b3,MM,"[31,29,30,29]",95,Y,0,2,4,2,4
N,N,[44],Y,N,N,2,N,x,v,Connection out for first half of match.,,,,,,,,,,,,,,,N,x,x,2022NHGRS,qm,44,b1,BM,,6763,N,1,0,0,0,0
Y,N,[43],Y,N,N,2,N,,a,good handling,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,45,b3,MM,"[43,43,42,42]",3467,N,0,0,4,2,5
N,Y,[29],Y,N,N,x,N,g,a,good at defense but can only shoot lower,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,45,r2,DC,"[42,54]",7913,N,0,0,2,2,0
N,N,[42],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,45,r3,jm,"[42,44,54,29]",663,N,0,1,0,0,2
N,N,[55],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,45,r1,AM,"[31,31,19,19,31,31,32,32,32]",8013,N,0,0,2,0,7
N,N,[19],N,N,Y,f,N,x,v,Tried to climb for the ENTIRE round,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,45,b1,BM,,4761,N,0,0,0,0,0
N,N,[29],N,N,N,x,N,g,n,can only score low,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,46,r2,DC,"[29,30,29,30,29]",1721,N,1,0,0,3,0
N,N,[54],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,46,r3,jm,"[43,55,54]",1307,N,0,0,0,2,0
N,N,[17],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,46,r1,AM,,501,N,0,0,0,0,0
N,Y,[19],N,N,N,4,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,46,b2,RS,[19],7407,N,0,3,1,0,1
N,N,[44],N,N,N,f,N,x,v,Good defense,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,46,b1,BM,,5491,N,0,0,0,0,0
N,N,[55],Y,N,N,f,N,b,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,46,b3,MM,"[45,31,19]",5902,N,0,0,1,1,0
N,N,[19],N,N,N,,N,,n,,,,,,,,,,,,,,,,N,n,n,ii.l9,qm,47,r1,AM,,8724,N,0,0,0,0,0
N,N,[18],Y,Y,N,2,N,x,a,,,,,,,,,,,,,,,,N,a,v,2022WK0,qm,47,r3,ps,,6762,N,0,0,3,0,0
N,Y,[31],Y,N,N,3,N,g,v,very good overall,,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,47,b2,RS,"[19,29,32,32,19,19,32]",6328,N,0,4,2,0,8
Y,N,[29],Y,N,N,1,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,47,r2,cf,[29],151,N,0,2,4,3,0
N,Y,[44],N,N,Y,3,N,g,v,honk,,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,47,b1,BM,"[32,65,53,54,54,54]",88,N,0,0,0,0,6
Y,N,[43],Y,Y,N,x,N,g,v,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,47,b3,MM,"[43,43,43]",1058,N,0,0,4,9,0
N,Y,[31],Y,N,Y,4,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,50,b1,BM,"[20,20,20,19]",7407,N,0,2,2,0,6
Y,N,[29],N,N,N,1,N,t,v,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,54,r1,AM,,1768,Y,0,0,0,0,0
N,N,[42],Y,N,N,x,N,g,a,didn't even pick up any balls,,,,,,,,,,,,,,,N,n,n,2022WK0,qm,54,r3,MM,[31],7913,N,0,1,2,0,0
N,N,[56],N,N,N,x,N,,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,54,b2,ES,[44],1729,N,0,0,1,1,0
N,N,[32],Y,N,N,f,N,,v,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,54,b3,BM,"[44,45,56,19,19]",1277,N,0,1,0,2,3
N,N,[56],Y,N,N,x,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,55,b1,BM,"[20,44]",88,N,0,0,0,0,3
N,Y,[29],Y,N,N,2,N,g,a,seems reliable,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,55,r2,DC,"[28,29,42,42]",663,N,0,0,2,0,6
N,N,[42],N,Y,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022WK0,qm,55,r3,MM,"[31,43]",1922,N,1,0,4,3,0
N,N,[32],Y,N,N,2,N,,v,helped us,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,55,b3,BM,[42],1512,N,0,0,0,1,0
N,N,[29],N,N,N,2,N,t,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,55,r1,AM,"[29,54,32]",467,N,0,1,0,4,0
N,N,[19],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,55,b2,ES,"[31,44,54]",8046,N,1,0,2,3,0
N,N,[19],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,56,b3,BM,[31],6763,N,1,0,4,5,0
Y,Y,[55],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,56,b1,BM,"[42,43,43]",151,Y,0,0,2,2,0
N,N,[29],Y,N,N,x,N,,a,shooter stopped working,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,56,r2,DC,[40],811,N,0,0,1,0,1
Y,Y,[29],N,N,N,x,N,b,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,56,r1,AM,[29],5902,N,0,0,1,3,0
Y,N,[42],N,N,N,2,Y,g,a,,,,,,,,,,,,,,,,N,a,n,2022WK0,qm,56,r3,MM,"[42,56,54]",8013,Y,0,1,2,0,2
N,Y,[56],Y,N,N,f,N,g,v,"Best low shot, or one of the best alongside 467.",,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,56,b2,ES,"[44,44,19,19,19]",126,N,0,0,2,5,0
N,N,[19],Y,N,N,3,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,57,b1,BM,"[56,56,54,53,53,20,7,31,31]",6328,N,0,5,0,0,10
N,N,[29],Y,N,N,x,N,x,v,No,,,,,,,,,,,,,,,N,n,n,2022WK0,qm,57,r3,MM,,4987,N,0,0,2,0,0
N,N,[54],N,N,N,x,N,g,n,isn't a very effective shooter,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,57,r2,DC,"[28,28,28]",1721,N,1,0,0,0,2
Y,N,[29],N,N,N,x,N,t,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,57,r1,AM,,4761,Y,0,0,0,0,0
N,N,[44],Y,N,N,2,N,x,v,defender,,,,,,,,,,,,,,,N,a,a,2022NHGRS,,57,b3,BM,,6762,N,0,0,0,0,0
N,N,[44],N,N,N,x,N,x,n,,,,,,,,,,,,,,,,Y,x,x,2022NHGRS,qm,57,b2,ES,,5491,Y,0,0,2,0,0
N,N,[55],Y,N,N,x,N,x,n,can't do anything offensively,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,58,r2,DC,,6895,N,0,0,0,0,0
N,N,[54],Y,N,N,f,N,x,v,,,,,,,,,,,,,,,,N,n,n,2022WK0,qm,58,r3,MM,,4925,N,0,0,2,0,0
N,N,[29],N,N,Y,1,N,b,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,58,r1,AM,"[29,54]",1247,N,0,0,1,2,0
Y,N,[44],Y,N,N,f,N,,v,hard defended by 6895,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,58,b3,BM,"[20,55]",78,Y,0,1,0,0,2
Y,Y,[19],Y,N,N,3,N,g,v,,,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,58,b2,ES,"[54,19,44,18]",8724,N,0,2,1,8,0
N,N,[32],N,N,N,,N,x,v,,,,,,,,,,,,,,,,Y,,,2022NHGRS,qm,58,b1,BM,,1307,N,0,0,0,0,0
N,N,[19],Y,N,N,4,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,59,b1,BM,"[43,43,53,53,32]",95,N,0,2,2,0,4
Y,Y,[18],N,N,Y,4,N,b,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,59,r1,AM,"[29,54,44,19]",131,N,0,1,2,8,1
N,N,[29],Y,N,N,2,N,g,n,doesn't shoot or pick up balls,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,59,r2,DC,,2262,N,0,0,2,0,0
N,N,[56],Y,N,N,f,N,g,v,Missed a lot,,,,,,,,,,,,,,,N,x,n,2022NHGRS,qm,59,b3,BM,"[56,8]",501,N,0,0,0,0,2
N,N,[44],N,N,N,1,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,59,b2,ES,"[19,29,30,44]",1922,Y,1,0,3,3,0
Y,N,[54],Y,N,N,f,N,g,v,consistent shots,,,,,,,,,,,,,,,N,a,v,2022WK0,qm,59,r3,MM,"[42,42]",4909,N,0,2,4,0,6
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
